,Datetime,Tweet Id,Text,Username
39,2022-06-13 08:35:13+00:00,1536265925711863808,"Via officialslimjimphantom IG “ #straycatssunday Congrats! 🎊 to Rockin’ True Pals Jeff Beck #johnnydepp on the release of their new single! “The Ballad Of Miss Heddy Lamar” 
 Be Cool! Tune In Today!Hear it today! #rockabillyraveup #littlesteven_ug #siriusxm CHANNEL 21 5:00 PST “ https://t.co/lQJt5hKxpj",ReemDepp
40,2022-06-13 08:34:36+00:00,1536265771004854273,"I feel to do a NEW Johnny depp Portrait today. Here's one from 16 years ago! Watch this space!

@JohnnyDeppNFT @JohnnyDeppWatch @JohnnyDep12221 @GellertDepp @depp #JohnnyDepp #JohnnyDeppGotJustice #JusticeForJohnnyDepp #AbuseHasNoGender #PiratesoftheCaribbean https://t.co/2LFShGu3sL",unicorndazzles
41,2022-06-13 08:31:55+00:00,1536265095893884928,Just a reminder to the MSM that Johnny Depp is a domestic abuse survivor.#JohnnyDeppGotJustice #JohnnyDepp,Sumpy0
42,2022-06-13 08:31:25+00:00,1536264967103520769,Good op-ed on how MSM are being shitbags. #JohnnyDepp #AmberTurd https://t.co/iblqLSwy7D,ExaKelGaming
43,2022-06-13 08:28:40+00:00,1536264276347871233,Poor guy. #JohnnyDepp https://t.co/CNF4TxGBgj,Dont_iron
44,2022-06-13 08:25:47+00:00,1536263548694843393,"@UMQRA1895 @GellertDepp Hey, don't worry I fully understand the rant I rant a lot about the Turd pack too but I don't reply to them cause I don't want to get into a back and forth argument I'm not here for that but I will still post how I feel at least on my Twitter page and with other #JohnnyDepp fans",love_for_depp
45,2022-06-13 08:25:32+00:00,1536263489152598017,"WE NEED THE VIDEO 🥹🥹
#JohnnyDepp #JohnnyDeppGotJustice https://t.co/Vp39Qtf1TL",cinephilezz
46,2022-06-13 08:25:11+00:00,1536263398220083206,Money does not change anybody ..money reveals #JohnnyDepp . JD is right ..I really think if you are a jerk and get rich ..you will become even a bigger jerk . https://t.co/O2LF9fY48G,FootAnalyse11
47,2022-06-13 08:23:28+00:00,1536262965749755904,"@MarieWatsen We are living in a biased society. It men slaps a women we say how cruel that man is, and if women slaps men we say man must have done something wrong. In every situation we only consider women as a victim. Man can also be a victim. #JohnnyDepp #boycottaquaman2 #AmberIsALiar",Padmadhish
48,2022-06-13 08:22:33+00:00,1536262734874312704,"Did Amber really say, she did not punch him? She just high five his face 😲😲😯

#JusticeForJohnnyDeppServed 
#JohnnyDeppAmberHeardTrial 
#AmberHeardIsALiar 
#JohnnyDepp",whodaphuckis
49,2022-06-13 08:21:50+00:00,1536262554544128001,Wish 1 person would shut up &amp; leave #JohnnyDepp &amp; his fans alone. The trial is over. #AmberHeardlsAnAbuser #AmberHeardIsALiar @Eve_Barlow grow tf up,Marie_Willis11
50,2022-06-13 08:21:43+00:00,1536262529001082880,"@60Mins @Channel9 @9Now @nickwallis spoke well. The ""implications"" are actually an encouragement for ANYONE of any gender who has been marginalised by domestic violence. 

#JohnnyDepp had the odds stacked so very high against him, come forward, told the truth, and won. 

#TruthWins  #AmberHeardIsALiar",AnnabelKiwiBird
51,2022-06-13 08:21:26+00:00,1536262454891556864,I just had a great idea what would johnny Depp be like as a genshin character? #JohnnyDepp #Genshinlmpact https://t.co/jAuFj5ixwP,studios_cloudy
52,2022-06-13 08:20:12+00:00,1536262145687560199,"Hello fellow Deppsters, I'm just sprinkling a bit of #JohnnyDepp on your tls. I think we can all need a bit of pick-me-up. Have a great Monday y'all. :-) https://t.co/cYbenT7Aie",MOlsen15996329
53,2022-06-13 08:19:29+00:00,1536261963189465088,"@MarieWatsen It doesn't matter even if women is found guilty in a trial she doesn't loose anything infact for her it ends like publicity, but when men is just accused its the end of his career or a big dent on his career. But women tends to get more work even after been convicted. #JohnnyDepp",Padmadhish
54,2022-06-13 08:18:31+00:00,1536261720565489665,As JD said he loved her so much he gave her everything  all he had left was his Blood   Her friends lived off him  But it came time for JD to go  So she tried too destroy his name  put him through hell for 6 yrs  He is done with you Turd he is done   #JohnnyDepp,jennysmccann0_
55,2022-06-13 08:17:54+00:00,1536261564705439744,Hope is crushed soon by Amber I mean inflation. #JohnnyDepp #inflation https://t.co/Q2HmT1wz09,CryptoDaku_
56,2022-06-13 08:17:43+00:00,1536261518630821889,"@Matagot27 ""TELL THE WORLD #JohnnyDepp..TELL THEM I #AmberHeard HIT YOU...SEE WHO WOULD BELIEVE YOU""
Apparently there are still some retarted people who don't..the abusers and narcissistic excuse of ""women right advocates"" bullshit..you stand for nothing but yourselves. https://t.co/BBqObrKr1N",Myzzone1
57,2022-06-13 08:16:36+00:00,1536261241068453890,Meeting Johnny Depp for the first time 😍 #shorts #johnnydepp #manchester https://t.co/3za9IdpueH via @YouTube #justiceforjohnnydepp#AmberHeardlsAnAbuser  #AmberHeardlsAPsychopath  #AmberHeardCommittedPerjury   #AmberHeardDeservesPrison  #TruthIsNotMisogyny,sameh48114685
58,2022-06-13 08:16:20+00:00,1536261171187417088,"who is the JOKE now amber???
 J.D. 14,2 million followers in 3 days !!!
Look your self at your trial and you find the biggest joke !!
#JohnnyDeppVsAmberHeard #JohnnyDepp #JusticeForJohhnyDepp
#AmberHeardlsALiar
#AmberHeardIsAnAbuser",RDimids
59,2022-06-13 08:16:17+00:00,1536261159112015874,"https://t.co/ae9cyCyCMP
Investigate the sham of the UK  case. There is a way.
#JohnnyDepp",Mumto3sons
60,2022-06-13 08:16:06+00:00,1536261111988621312,"🍀 You don't need too many people to be happy just a few real ones who appreciate you for who you are.
#JohnnyDepp 
🏴‍☠️💐💝 https://t.co/Do37dXM67C",iannmariedj
61,2022-06-13 08:15:32+00:00,1536260969172766720,"Omg just leave #JohnnyDepp alone move on with your lifes and stop making shit up #JusticeForJohnny 
#AmberHeardIsAPsycopath https://t.co/iM9zsExKAy",lisatosh93
62,2022-06-13 08:14:43+00:00,1536260766084411392,Agreed! #AmberHeardlsAnAbuser #AmberHeardIsALiar #JohnnyDepp #AmberHeard https://t.co/Fp0sxhBuEl,worldwelivein20
63,2022-06-13 08:14:18+00:00,1536260661147230209,"@News18Movies I hope the lying cow gets trolled forever. The powerful  institutions (like yours the media) spoken about in her Oped aren't protecting men they are in fact protecting a female abuser and liar. If she were a man she would be in prison for ten years.
#JohnnyDepp",WerdnaRiley
64,2022-06-13 08:13:52+00:00,1536260551352918016,"The fact these youtubers helped raise money for a sick children's hospital doesn't fit the narrative. MSM don't like when people do their own research and come to their own conclusions.

#DeppHeardTrial 
#JohnnyDepp 
#DeppvHeard https://t.co/FcnUaDspjb https://t.co/zKFBduflNt",Louise49592728
65,2022-06-13 08:12:52+00:00,1536260299619467265,"The fact he calling his fans as relatives, is just hands down. Johnny is my uncle now. #JohnnyDepp",skinnymamy
66,2022-06-13 08:12:22+00:00,1536260176185106433,"I am a feminist, I support the victims of violence regardless of their gender, I do not support the fakes, the liars and the profiteers
#JohnnyDepp #JusticeForJohnnyDepp https://t.co/KBqEVohx2U",deborahbracciot
